"gu_code","gu_name","202201_geton","202201_getoff","202202_geton","202202_getoff","202203_geton","202203_getoff","202204_geton","202204_getoff","202205_geton","202205_getoff","202206_geton","202206_getoff","202207_geton","202207_getoff","202208_geton","202208_getoff","202209_geton","202209_getoff","202210_geton","202210_getoff","202211_geton","202211_getoff","202212_geton","202212_getoff","202301_geton","202301_getoff","202302_geton","202302_getoff","202303_geton","202303_getoff","202304_geton","202304_getoff","202305_geton","202305_getoff","202306_geton","202306_getoff","202307_geton","202307_getoff","202308_geton","202308_getoff","202309_geton","202309_getoff","202310_geton","202310_getoff","202311_geton","202311_getoff","202312_geton","202312_getoff","202401_geton","202401_getoff","202402_geton","202402_getoff","202403_geton","202403_getoff","202404_geton","202404_getoff","202405_geton","202405_getoff","202406_geton","202406_getoff","202407_geton","202407_getoff","202408_geton","202408_getoff","202409_geton","202409_getoff","202410_geton","202410_getoff","202411_geton","202411_getoff","202412_geton","202412_getoff","202501_geton","202501_getoff"
11110,종로구,4342692,4083059,3646743,3436870,4166090,3940136,4768867,4526935,5484431,5235175,5081820,4838511,5098367,4840551,4933641,4675196,5129354,4874660,5741204,5436259,5613034,5300998,5778108,5444464,4879502,4597429,5180793,4895213,6003729,5698200,5721426,5436384,5970828,5654353,5628407,5366840,5568460,5278909,5431893,5153231,5627059,5340539,6035168,5740974,5961880,5641606,6031782,5723312,5239234,4922376,4841363,4570803,6213245,5909502,6068461,5805638,6158944,5860142,5749422,5499334,5859294,5573371,5531182,5263389,5484708,5238690,6427553,6140873,6342368,6024876,6359508,6032470,8371,1829
11140,중구,6034978,5843985,5042615,4870897,5760383,5601476,6555818,6420654,7293836,7185303,6969895,6820210,7155347,6970926,6985140,6782940,7179339,6991001,7937853,7734204,8060102,7840090,8469912,8243981,7055940,6879469,7405023,7200099,8675984,8413444,8361488,8135804,8646115,8403454,8426935,8210866,8375805,8116196,8197015,7954176,8269935,8065325,8711621,8480839,9019869,8785639,9029488,8839628,7807197,7560069,7215148,7029779,9244981,8992318,9204035,8980332,9014693,8792415,8700309,8483778,9068187,8815026,8601164,8361310,8353571,8150434,9582007,9343492,9617975,9368612,9655623,9386192,12988,4735
11170,용산구,1675761,1638414,1400655,1370633,1613398,1581310,1837871,1828038,2151070,2137115,2035511,2010159,2050266,2026922,2001031,1977579,2048775,2036142,2359733,2343465,2124414,2054381,2168650,2116656,1865192,1819836,1985992,1947634,2306232,2268473,2200128,2166705,2278384,2239681,2244294,2222657,2202757,2189827,2133953,2116711,2208088,2197709,2310071,2291839,2290795,2256844,2301843,2279625,2001582,1968139,1855417,1837007,2418176,2398861,2382425,2365085,2348260,2334397,2296340,2284068,2318136,2308010,2194908,2196196,2182922,2183468,2511724,2519882,2460847,2459428,2507213,2492699,1268,1126
11200,성동구,3350261,3305764,2851007,2822592,3360305,3324499,3738344,3678613,4046883,3992410,3755577,3697308,3771269,3713350,3645286,3592182,3779872,3717855,3988089,3914501,4101114,4035015,4143630,4080597,3560406,3515279,3721680,3671052,4369477,4310875,4141521,4071468,4229539,4174052,4078197,4022776,3995301,3953482,3885563,3844862,3970263,3920306,4179789,4124692,4319596,4251876,4280570,4225651,3801119,3759396,3479313,3442749,4561673,4517913,4580816,4518465,4444573,4399415,4263978,4227241,4412309,4374284,4095029,4056048,4108215,4061634,4666333,4607600,4697508,4631648,4701712,4645796,1084,2321
11215,광진구,4397778,4249706,3750580,3608749,4329291,4161777,4938785,4756844,5451347,5240080,4947360,4746322,4951336,4762309,4799426,4624914,5005610,4809550,5230136,5022806,5193733,4988773,5231473,5036152,4613325,4441751,4780022,4585253,5593490,5354841,5322930,5104754,5516559,5291163,5222434,4997626,5047162,4837590,4936828,4732610,5090422,4880361,5384191,5144711,5327628,5096448,5304712,5078966,4765029,4571519,4376061,4204325,5643555,5392643,5693435,5430900,5669712,5421411,5376893,5134919,5354287,5108150,4965973,4751224,4938619,4716574,5535158,5270590,5478864,5232405,5431670,5196925,2230,2658
11230,동대문구,1259464,1184241,1037399,974432,1189790,1116220,1308521,1199877,1405603,1298366,1330529,1223425,1353909,1249177,1318081,1221139,1343352,1236795,1417192,1303646,1404083,1293137,1428452,1316099,1304140,1207860,1325291,1223929,1517724,1395167,1425879,1310070,1447532,1333349,1415974,1302417,1389105,1276866,1381908,1272011,1422930,1308338,1467954,1346672,1485652,1364192,1483105,1356455,1377938,1274682,1257312,1156664,1604189,1473319,1546585,1417203,1537389,1407619,1491267,1362750,1525634,1398641,1437822,1322007,1425512,1311212,1595658,1462714,1574855,1441563,1574504,1447150,164,1138
11260,중랑구,1804357,1729566,1553239,1491808,1768886,1691093,1924228,1819660,2086630,1957862,1917631,1819890,1922759,1830296,1855567,1771955,1904743,1814504,1996013,1901979,2011512,1921990,2030912,1939863,1804609,1724943,1852783,1771124,2137428,2045070,2017317,1928123,2110697,2006542,2000459,1910109,1944370,1857573,1909564,1829436,1936289,1851501,2015682,1930614,2045859,1961784,2024082,1932858,1841670,1769468,1694146,1622680,2143686,2054210,2140030,2043057,2129665,2023966,2023658,1935050,2086354,1999625,1948833,1864831,1905480,1823713,2110171,2020382,2108338,2021805,2125130,2037222,342,753
11290,성북구,2217254,2263780,1907124,1964473,2302329,2342899,2514161,2529064,2811543,2820406,2537657,2550701,2495180,2510645,2405575,2427916,2699067,2711333,2792505,2811189,2836690,2867564,2764398,2796857,2329582,2361650,2411286,2446273,3064080,3096361,2840944,2869468,2999421,3023976,2761110,2774299,2608767,2630598,2540467,2559181,2786119,2783793,2853052,2872314,2961412,2984482,2843266,2857444,2430789,2474564,2237182,2262982,3118001,3137566,3063692,3072341,3045866,3060192,2812663,2817553,2813163,2823726,2615611,2620350,2777243,2774439,3046058,3046637,3073656,3075383,2985453,2995716,770,1560
11305,강북구,1629651,1873908,1409846,1622942,1605762,1842893,1723427,1974654,1872040,2135206,1753589,2001034,1763739,2021558,1694355,1953762,1748462,2021091,1842337,2127030,1836068,2135418,1882699,2181416,1664987,1919250,1698264,1963252,1954404,2271652,1850798,2143997,1904503,2209528,1832579,2110565,1810656,2084255,1763857,2040553,1791097,2062302,1865874,2155628,1878367,2176061,1892953,2168225,1682153,1952313,1553133,1789806,1973164,2270477,1935624,2233095,1917767,2210242,1848934,2120781,1914628,2200018,1801347,2066055,1780057,2033879,1960897,2257969,1958791,2262075,1982424,2273046,426,810
11320,도봉구,1300628,1287171,1113918,1103632,1258592,1247753,1365814,1340702,1489194,1458014,1385358,1359986,1382640,1367547,1333544,1321184,1375180,1363538,1448980,1435492,1456466,1438200,1462340,1443471,1307281,1282171,1324587,1312759,1521526,1509829,1439895,1425981,1486309,1467538,1439391,1420971,1412763,1392634,1381271,1367910,1403394,1388980,1464309,1449611,1480418,1463149,1478780,1453157,1349290,1330016,1242194,1219546,1560418,1542220,1552122,1526781,1536081,1512293,1480189,1457527,1542097,1519913,1446953,1429554,1428790,1409695,1580482,1563520,1580527,1563675,1585763,1565238,170,601
11350,노원구,3739202,3566577,3214646,3070428,3648097,3478846,3925338,3719881,4349963,4129254,3956658,3761761,3995020,3805392,3825880,3652452,3981464,3791114,4176003,3972978,4212298,4015082,4256241,4056940,3720740,3546930,3833107,3659931,4489057,4282940,4234558,4036434,4489331,4295420,4196789,4000659,4096988,3917203,4002930,3825537,4101473,3901727,4271647,4074503,4372927,4165022,4466192,4259781,4200371,4036041,3864913,3708196,4943189,4735538,4925164,4707416,5006371,4805044,4654249,4454544,4796212,4598183,4456946,4269549,4151922,3963607,4578036,4368525,4608839,4399681,4620426,4399184,710,1697
11380,은평구,2938045,2770727,2522164,2386350,2862591,2698554,3155338,2948589,3427095,3180038,3237109,3010764,3283254,3059735,3152602,2954280,3201251,2985553,3369543,3150778,3379267,3161261,3410612,3194296,3028046,2837765,3116160,2930839,3581737,3364918,3400831,3192326,3472717,3263155,3391483,3173383,3362975,3166306,3301597,3103914,3277652,3073874,3441277,3235736,3458440,3248089,3427067,3215646,3113375,2944981,2869177,2705117,3614324,3392758,3612171,3375854,3521427,3297763,3423591,3202988,3587641,3360446,3371378,3160026,3270998,3055443,3629506,3401197,3599278,3375067,3613822,3392618,522,1531
11410,서대문구,1450343,1396576,1242766,1201361,1446200,1395553,1606449,1544392,1761995,1691737,1650516,1578921,1659690,1581121,1609856,1537264,1722486,1647877,1801496,1727882,1865814,1792499,1832265,1758060,1569262,1504033,1650449,1581689,2001832,1931667,1874954,1801836,1935593,1860869,1842059,1762134,1781195,1703639,1744651,1667787,1819082,1747403,1877730,1816780,1971303,1900637,1869982,1797943,1671229,1609156,1526385,1468535,2027199,1950806,2017371,1937873,1972508,1900085,1868107,1793631,1936484,1858311,1785800,1714382,1783932,1727280,2016819,1944709,2037387,1976397,1998304,1926193,387,1234
11440,마포구,5423217,5190896,4596148,4408126,5256622,5044609,5771836,5607953,6447455,6265341,6120282,5938229,6358905,6169720,6108537,5931256,6238361,6051971,6746738,6535103,6601335,6416042,6824746,6632417,5964984,5781345,6238517,6044057,7179267,6935450,6838016,6613813,6995460,6727510,6804983,6591471,6826556,6650108,6583778,6405450,6628622,6439935,7056100,6847570,7076249,6869391,7069710,6879813,6282509,6091321,5806110,5630354,7458984,7212126,7370966,7121619,7291370,7072955,6981882,6778924,7263333,7063320,6886173,6717244,6742452,6568433,7538131,7322325,7450131,7263872,7548032,7335824,3684,4935
11470,양천구,1450308,1434593,1231802,1216552,1372944,1350127,1518251,1481933,1658327,1609736,1584032,1536765,1605951,1557853,1553678,1514539,1565297,1519486,1637263,1588503,1648238,1615903,1676487,1640770,1489086,1455214,1534101,1503906,1737325,1706694,1638900,1607461,1673188,1638588,1638662,1604212,1618331,1590264,1575489,1553539,1566218,1536557,1626164,1593025,1660457,1634525,1650971,1613620,1521791,1500669,1377059,1352621,1712369,1679660,1713262,1679021,1661046,1626604,1609645,1576809,1698078,1673563,1573203,1548451,1510027,1486399,1683944,1656438,1694966,1669933,1717771,1682988,193,521
11500,강서구,2679278,3464455,2303844,2972611,2587349,3302588,2832753,3614071,3077486,3917034,2932697,3729307,2986664,3794844,2896126,3678205,2882408,3652634,3035765,3862408,3061528,3897784,3141059,3983681,2802020,3578805,2873732,3668015,3243530,4112246,3089705,3909737,3167291,4005487,3115125,3942971,3095191,3910627,3037427,3838536,2985038,3764369,3123758,3942517,3195945,4047917,3199845,4028018,2941345,3724333,2685072,3385961,3318633,4178961,3325037,4162307,3244336,4061523,3166564,3971265,3345101,4189743,3152476,3923904,3002839,3732069,3331972,4144465,3353408,4190854,3422998,4255157,421,1576
11530,구로구,3254522,3118754,2759967,2648857,3090768,2977586,3408616,3270641,3691582,3539054,3544420,3370697,3595344,3409473,3488436,3309124,3502552,3321178,3705586,3514885,3781424,3573316,3807847,3597454,3442630,3235669,3529534,3328599,3952785,3722538,3737445,3516896,3785471,3557022,3743744,3514223,3704679,3476972,3615078,3391331,3577164,3356276,3714709,3488831,3813527,3576416,3757787,3524942,3488314,3271820,3172205,2969813,3926613,3684467,3933455,3682806,3816223,3577290,3755396,3520265,3969667,3717332,3726141,3494455,3556203,3334469,3954170,3708005,4005850,3756955,4061094,3786897,589,2013
11545,금천구,589736,573156,490413,480234,549462,541124,597544,588790,628246,616827,604903,584844,621195,596380,602698,578180,593940,569759,608687,583743,655100,626375,654189,620573,589329,560960,609700,579662,666549,642075,616542,594293,638500,614183,633145,607091,632385,603634,623241,593284,593653,565018,607072,582271,662630,631552,614349,581486,614543,581206,541667,512084,650415,616840,661996,635321,619477,591214,607772,580257,692781,658906,621251,587177,570279,540842,635647,604959,663378,622536,655645,612059,33,44
11560,영등포구,2654028,3358415,2247247,2839690,2573029,3230680,3052646,3845576,3189784,4036666,2958037,3742640,3008138,3818279,2960559,3739524,2972862,3745620,3130096,3970509,3202812,4038100,3227893,4088086,2808626,3551232,2964346,3732487,3415154,4269198,3292670,4128593,3254311,4071504,3225970,4046357,3163928,3988066,3126130,3936846,3120233,3922610,3257923,4104416,3310180,4177133,3229714,4055435,2999336,3758061,2718783,3393561,3439759,4290200,3606334,4486200,3374519,4193950,3289784,4111351,3459553,4340289,3224513,4036985,3073980,3824378,3537673,4407437,3554381,4402146,3703579,4705803,837,1812
11590,동작구,3886294,4166301,3312686,3565439,3810658,4092707,4253632,4542729,4664473,4981354,4340269,4608939,4326319,4574678,4131271,4372691,4290741,4574695,4531448,4837963,4586743,4896295,4601568,4898991,4025611,4284760,4161418,4433441,4841782,5172757,4562925,4882121,4664977,4997271,4525185,4817239,4382129,4662018,4292663,4569963,4401014,4694302,4559354,4897364,4636895,4965024,4596846,4906614,4147388,4429777,3762697,3999400,4879007,5197795,4857425,5186127,4753410,5078110,4600880,4893085,4708200,4986660,4423033,4684804,4343019,4640852,4856767,5189019,4881052,5212805,4900396,5226227,987,2563
11620,관악구,3406869,3224837,2918658,2796006,3342619,3157696,3627231,3391084,3909076,3642787,3625722,3323919,3702198,3394903,3567783,3278426,3567183,3268501,3747610,3440102,3768234,3465675,3831249,3510385,3425023,3144690,3493894,3204660,3977331,3646149,3760220,3441724,3814004,3493658,3727487,3407901,3690158,3372564,3569322,3250621,3524253,3187719,3655651,3354427,3730294,3404339,3699575,3365443,3397124,3133159,3088031,2825461,3903975,3565066,3854154,3513377,3783199,3445397,3706630,3378919,3907696,3572511,3688773,3366502,3518909,3211480,3901827,3568144,3909618,3576688,3944531,3601408,928,2268
11650,서초구,4779013,4876058,4086103,4042708,4512840,4549118,5112122,5161925,5706840,5785301,5374979,5424160,5468804,5521752,5266650,5278051,5384350,5428487,5648526,5686780,5736790,5764760,5870566,5891271,5193885,5180285,5370764,5372519,6030788,6060047,5709314,5743091,5889071,5945396,5683700,5728773,5635434,5661818,5467086,5480806,5489781,5581838,5731501,5703859,5888685,5929800,5854414,5895499,5284311,5261641,4900356,4915093,6065877,6091832,6009403,6045200,5937844,5987425,5773151,5821257,6003706,6029468,5663160,5690475,5488875,5508487,6015883,6052907,6168464,6207289,6300272,6310242,1550,1287
11680,강남구,9708350,9683576,8142750,8136135,8948284,8983888,9864893,9978154,10753606,10887176,10394778,10372473,10872777,10809662,10424192,10310781,10116708,10033957,10595282,10516457,11008902,10913463,11340516,11245775,10089074,10021340,10547683,10451839,11555936,11455845,10859476,10748714,11029282,10911804,11073434,10925970,11317332,11135915,10986658,10793882,10449437,10280905,10746678,10592595,11415529,11250788,11193059,11070835,10495395,10351394,9394246,9286256,11590408,11464660,11496912,11376250,11106232,10993091,10973234,10836404,12056892,11913432,11160226,11017304,10163764,10056114,11337169,11213681,11679745,11533501,11778423,11643558,2303,2776
11710,송파구,6154458,5774243,5147204,4832631,5814893,5454125,6882438,6433915,7357270,6869255,6978902,6502651,7224451,6747119,6937719,6470199,7018538,6561485,7558485,7038119,7319216,6818356,7819138,7314799,6721181,6254822,6928757,6445031,7806109,7281428,7722672,7193261,7730752,7204446,7680968,7171305,7656285,7141882,7420031,6914372,7310214,6811484,7702674,7168308,7869171,7332189,8090137,7560935,7096530,6584802,6483735,6015791,8214490,7632096,8402574,7807691,8153137,7551406,7955813,7374877,8308953,7709432,7868931,7290182,7408724,6869736,8062584,7446106,8167437,7559291,8419723,7820497,5675,2924
11740,강동구,3480387,3317290,2948987,2822700,3326773,3167095,3654191,3450297,3976858,3742482,3787042,3569621,3854714,3640872,3718120,3525667,3720754,3508799,3935026,3714651,3953995,3748176,4089897,3864962,3636452,3439510,3755127,3541049,4244634,4004707,4009738,3783047,4102027,3868576,4029023,3795851,4012150,3794966,3937381,3727347,3882745,3659211,4056179,3828978,4149313,3922200,4182482,3950233,3841017,3645198,3492924,3304388,4360419,4123179,4327819,4073840,4262220,4014931,4144454,3901572,4388754,4139404,4040793,3820830,3823993,3611446,4270506,4029916,4297840,4066415,4414172,4165296,788,1665
