연도,월,필터링한_자치구코드,스트레스점수
2022,1,11010,25.550091384205125
2022,1,11020,26.189121925633607
2022,1,11030,20.933760808908453
2022,1,11040,23.074523835948114
2022,1,11050,23.9283778080158
2022,1,11060,23.46569024345275
2022,1,11070,20.81983090312206
2022,1,11080,25.73372192946141
2022,1,11090,18.12242570929739
2022,1,11100,16.57323316797935
2022,1,11110,30.11279987896193
2022,1,11120,25.215013157689665
2022,1,11130,22.436716918584214
2022,1,11140,31.55658798767133
2022,1,11150,22.34188270292094
2022,1,11160,33.541808412130635
2022,1,11170,23.35980197144416
2022,1,11180,14.216406582281083
2022,1,11190,34.72451699797984
2022,1,11200,22.68488953795056
2022,1,11210,27.169132947912626
2022,1,11220,42.673568088210196
2022,1,11230,65.77140439002314
2022,1,11240,49.70508498747033
2022,1,11250,31.046775927239665
2022,1,21010,18.814682226096163
2022,1,21020,18.412084219475766
2022,1,21030,18.67003262136622
2022,1,21040,20.2970225625646
2022,1,21050,18.70068611870169
2022,1,21060,19.754672028105787
2022,1,21070,19.476136174760832
2022,1,21080,18.348090816167197
2022,1,21090,20.909884929051394
2022,1,21100,19.265448108766353
2022,1,21110,20.627477119655207
2022,1,21120,16.993070025731207
2022,1,21130,19.38372656288389
2022,1,21140,19.532065395997105
2022,1,21150,17.30488606621417
2022,1,21310,21.707791335276585
2022,1,22010,16.676076008015187
2022,1,22020,16.54528987798254
2022,1,22030,18.613122788777606
2022,1,22040,17.627157195300075
2022,1,22050,17.90571565107498
2022,1,22060,16.6018300013631
2022,1,22070,18.811488448350698
2022,1,22310,19.846729731472827
2022,1,23010,6.066272962178782
2022,1,23020,4.974821199307368
2022,1,23030,5.951011269789392
2022,1,23040,6.243632462981941
2022,1,23050,5.928172513327412
2022,1,23060,5.996597217558493
2022,1,23070,4.579608609519162
2022,1,23080,6.229332947685455
2022,1,23310,7.456931714985808
2022,1,23320,8.959492448649089
2022,1,24010,17.99264711522515
2022,1,24020,17.01973411627602
2022,1,24030,17.95507433191582
2022,1,24040,18.82063922193309
2022,1,24050,16.78764657232384
2022,1,25010,11.942662383339728
2022,1,25020,12.13477213819455
2022,1,25030,12.77792240444438
2022,1,25040,13.00408020713895
2022,1,25050,12.303453763823496
2022,1,26010,19.17256244352909
2022,1,26020,19.409401019472703
2022,1,26030,20.263283092896422
2022,1,26040,18.462029058060583
2022,1,26310,18.823558492904038
2022,1,29010,10.632012310714552
2022,1,31011,4.988176343561127
2022,1,31012,5.696585057140835
2022,1,31013,5.313297057706957
2022,1,31014,5.689186756864661
2022,1,31021,4.32557893279097
2022,1,31022,3.9970130414718876
2022,1,31023,6.770543654359469
2022,1,31030,7.393288110493347
2022,1,31041,4.142349381863189
2022,1,31042,5.1140290857925
2022,1,31050,8.994438649720477
2022,1,31060,4.768488448390915
2022,1,31070,8.153139509826756
2022,1,31080,6.498998471566097
2022,1,31091,5.939722201241307
2022,1,31092,6.200305599062544
2022,1,31101,7.354509831556988
2022,1,31103,5.714197071499266
2022,1,31104,5.913700172594963
2022,1,31110,2.6808598157515524
2022,1,31120,4.633687536510888
2022,1,31130,9.854023024547473
2022,1,31140,6.619589010999396
2022,1,31150,5.470040142856068
2022,1,31160,5.10287247267535
2022,1,31170,4.13725723660611
2022,1,31180,6.73425600349385
2022,1,31191,6.190452133821022
2022,1,31192,6.507753627134724
2022,1,31193,5.9335376002480045
2022,1,31200,6.560698505553054
2022,1,31210,7.386275485472099
2022,1,31220,7.929073064281297
2022,1,31230,6.799449343502583
2022,1,31240,7.312783470450781
2022,1,31250,5.98246052753291
2022,1,31260,5.818544074499169
2022,1,31270,6.180533143442314
2022,1,31280,8.851809057943017
2022,1,31350,8.660847004926769
2022,1,31370,6.466122982783004
2022,1,31380,6.4239819270948315
2022,1,32010,10.87215750306497
2022,1,32020,10.628434189577806
2022,1,32030,16.4953420447082
2022,1,32040,18.779749662459
2022,1,32050,21.388894311837763
2022,1,32060,16.44224690398841
2022,1,32070,21.24686450545105
2022,1,32310,9.3696623488213
2022,1,32320,10.711574177765367
2022,1,32330,14.236838259973833
2022,1,32340,12.830055127419692
2022,1,32350,16.99183864973943
2022,1,32360,9.616907410253123
2022,1,32370,12.028595938016366
2022,1,32380,13.506843743189135
2022,1,32390,11.930439352545603
2022,1,32400,16.836173516595775
2022,1,32410,14.409594272946126
2022,1,33020,11.433072316480759
2022,1,33030,11.727766439444384
2022,1,33041,12.7402892872545
2022,1,33042,11.983700908641408
2022,1,33043,10.511315812765872
2022,1,33044,11.272766027015226
2022,1,33320,14.646771322440758
2022,1,33330,14.29464766990538
2022,1,33340,15.749035725566237
2022,1,33350,10.144408977124717
2022,1,33360,12.254022877553174
2022,1,33370,9.636021562429482
2022,1,33380,13.678780534939625
2022,1,33390,10.934736771200459
2022,1,34011,9.388696601048984
2022,1,34012,8.9815642156433
2022,1,34020,11.727398073163235
2022,1,34030,14.835475178176019
2022,1,34040,8.923485382378578
2022,1,34050,11.473499642963931
2022,1,34060,14.409298620248503
2022,1,34070,13.579828961781264
2022,1,34080,9.794651530773297
2022,1,34310,15.336719616900897
2022,1,34330,14.429768141124372
2022,1,34340,17.004398471274637
2022,1,34350,13.52571483005034
2022,1,34360,12.20334979530481
2022,1,34370,11.955173700109906
2022,1,34380,13.820337422862488
2022,1,35011,17.20405173411507
2022,1,35012,16.637714427194634
2022,1,35020,16.593081449927208
2022,1,35030,13.391702118682995
2022,1,35040,15.316288759873371
2022,1,35050,18.907091186354354
2022,1,35060,16.618330375090192
2022,1,35310,16.611564296486772
2022,1,35320,20.75224476173366
2022,1,35330,18.244943196687743
2022,1,35340,20.805678558907093
2022,1,35350,20.459184233667106
2022,1,35360,19.467084959919834
2022,1,35370,18.40876836960639
2022,1,35380,17.978423719363224
2022,1,36010,19.238911439227373
2022,1,36020,20.06405114541661
2022,1,36030,20.074021056593775
2022,1,36040,16.638957470776667
2022,1,36060,21.831473014390017
2022,1,36310,19.78091058677268
2022,1,36320,19.65915393314849
2022,1,36330,21.513218988652284
2022,1,36350,25.248684978997776
2022,1,36360,23.65396822597471
2022,1,36370,20.641943053129697
2022,1,36380,24.507258711018647
2022,1,36390,23.063311500318683
2022,1,36400,24.4805415135889
2022,1,36410,20.99267059937222
2022,1,36420,20.44865828262898
2022,1,36430,19.69569349522557
2022,1,36440,20.615392378795782
2022,1,36450,19.134611303588994
2022,1,36460,26.544326895507258
2022,1,36470,26.00526652035103
2022,1,36480,25.098515351038344
2022,1,37011,21.32729173625846
2022,1,37012,21.104391818189804
2022,1,37020,19.756299956191107
2022,1,37030,14.997593201098853
2022,1,37040,17.07411779188693
2022,1,37050,17.948355340172586
2022,1,37060,14.446377525448915
2022,1,37070,20.57670124513272
2022,1,37080,15.62939411156692
2022,1,37090,14.024526850190405
2022,1,37100,18.897592250429454
2022,1,37310,19.56273401066887
2022,1,37320,19.705899970461704
2022,1,37330,20.89267868425358
2022,1,37340,23.81115895246057
2022,1,37350,23.46422141283402
2022,1,37360,21.109962179422485
2022,1,37370,19.677910682500592
2022,1,37380,18.291128182687018
2022,1,37390,18.766638881418164
2022,1,37400,16.40310443474949
2022,1,37410,17.85927952210924
2022,1,37420,22.33316443837194
2022,1,38030,23.29993025512828
2022,1,38050,25.536777457340456
2022,1,38060,23.779788666390516
2022,1,38070,19.016256457095917
2022,1,38080,20.518257696196645
2022,1,38090,26.826665590890325
2022,1,38100,20.825539223104084
2022,1,38111,22.221087050277745
2022,1,38112,21.74613127459789
2022,1,38113,24.131219295930425
2022,1,38114,23.086965264198064
2022,1,38115,22.80404204688788
2022,1,38310,24.428932216474088
2022,1,38320,24.601667224800607
2022,1,38330,23.6676799791336
2022,1,38340,25.867734030749784
2022,1,38350,27.092431586134936
2022,1,38360,25.456236960416586
2022,1,38370,22.947572081045948
2022,1,38380,20.90553263051591
2022,1,38390,21.20054659534647
2022,1,38400,21.932235727545994
2022,1,39010,12.78321974241936
2022,1,39020,16.791497338494786
