자치구,총점_orig_2022,총점_interp_2022,순위_orig_2022,순위_interp_2022,점수차(orig-interp)_2022,순위차(orig-interp)_2022,절대순위차_2022,총점_orig_2023,총점_interp_2023,순위_orig_2023,순위_interp_2023,점수차(orig-interp)_2023,순위차(orig-interp)_2023,절대순위차_2023,총점_orig_2024,총점_interp_2024,순위_orig_2024,순위_interp_2024,점수차(orig-interp)_2024,순위차(orig-interp)_2024,절대순위차_2024
종로구,13.965277777777779,13.95138888888889,10.0,9.0,0.013888888888889284,1.0,1.0,15.628472222222223,15.281250000000004,4.0,5.0,0.34722222222221966,-1.0,1.0,15.347222222222225,15.201388888888891,6.0,6.0,0.14583333333333393,0.0,0.0
중구,14.392361111111112,16.03125,6.0,2.0,-1.6388888888888875,4.0,4.0,10.347222222222223,11.142361111111112,16.0,15.0,-0.7951388888888893,1.0,1.0,11.468750000000002,11.468750000000002,13.0,13.0,0.0,0.0,0.0
용산구,13.29513888888889,13.843750000000002,11.0,11.0,-0.5486111111111125,0.0,0.0,17.760416666666668,14.777777777777779,2.0,8.0,2.9826388888888893,-6.0,6.0,13.75,13.75,9.0,9.0,0.0,0.0,0.0
성동구,14.13888888888889,14.527777777777777,9.0,6.0,-0.3888888888888875,3.0,3.0,17.659722222222225,15.479166666666668,3.0,4.0,2.180555555555557,-1.0,1.0,16.486111111111114,16.43402777777778,3.0,3.0,0.0520833333333357,0.0,0.0
광진구,11.663194444444446,11.29513888888889,14.0,16.0,0.36805555555555713,-2.0,2.0,10.621527777777777,9.951388888888891,15.0,19.0,0.6701388888888857,-4.0,4.0,9.565972222222223,9.565972222222223,21.0,21.0,0.0,0.0,0.0
동대문구,14.381944444444445,15.510416666666668,7.0,3.0,-1.1284722222222232,4.0,4.0,14.736111111111114,16.42361111111111,6.0,2.0,-1.6874999999999964,4.0,4.0,16.767361111111114,16.767361111111114,2.0,2.0,0.0,0.0,0.0
중랑구,9.13888888888889,10.20138888888889,23.0,21.0,-1.0625,2.0,2.0,11.472222222222221,12.250000000000002,13.0,13.0,-0.7777777777777803,0.0,0.0,11.378472222222221,11.378472222222221,15.0,15.0,0.0,0.0,0.0
성북구,9.982638888888888,10.746527777777779,20.0,18.0,-0.7638888888888911,2.0,2.0,10.958333333333334,12.503472222222221,14.0,12.0,-1.5451388888888875,2.0,2.0,12.34375,12.458333333333334,12.0,12.0,-0.11458333333333393,0.0,0.0
강북구,11.329861111111112,11.645833333333334,15.0,13.0,-0.31597222222222143,2.0,2.0,9.597222222222225,9.493055555555555,19.0,22.0,0.10416666666666963,-3.0,3.0,10.524305555555557,10.48263888888889,17.0,17.0,0.04166666666666785,0.0,0.0
도봉구,9.673611111111112,10.083333333333334,22.0,22.0,-0.40972222222222143,0.0,0.0,9.180555555555555,9.479166666666668,22.0,23.0,-0.2986111111111125,-1.0,1.0,9.420138888888891,9.420138888888891,22.0,22.0,0.0,0.0,0.0
노원구,8.45138888888889,8.121527777777779,24.0,25.0,0.3298611111111107,-1.0,1.0,8.809027777777779,8.958333333333334,24.0,24.0,-0.14930555555555536,0.0,0.0,8.670138888888891,8.836805555555557,24.0,24.0,-0.16666666666666607,0.0,0.0
은평구,14.878472222222223,15.395833333333336,3.0,4.0,-0.5173611111111125,-1.0,1.0,14.548611111111112,15.986111111111112,7.0,3.0,-1.4375,4.0,4.0,15.524305555555555,15.524305555555555,5.0,5.0,0.0,0.0,0.0
서대문구,12.211805555555555,11.36111111111111,12.0,15.0,0.8506944444444446,-3.0,3.0,12.166666666666668,12.520833333333334,11.0,11.0,-0.3541666666666661,0.0,0.0,14.281250000000002,14.218750000000002,8.0,8.0,0.0625,0.0,0.0
마포구,14.152777777777779,14.281250000000002,8.0,7.0,-0.1284722222222232,1.0,1.0,14.281250000000002,12.885416666666668,8.0,10.0,1.395833333333334,-2.0,2.0,14.565972222222225,14.565972222222225,7.0,7.0,0.0,0.0,0.0
양천구,10.368055555555555,10.649305555555555,19.0,19.0,-0.28125,0.0,0.0,9.197916666666668,10.524305555555555,21.0,18.0,-1.3263888888888875,3.0,3.0,10.416666666666668,10.416666666666668,18.0,18.0,0.0,0.0,0.0
강서구,14.54513888888889,14.048611111111112,4.0,8.0,0.4965277777777768,-4.0,4.0,12.475694444444445,13.89236111111111,10.0,9.0,-1.416666666666666,1.0,1.0,12.718750000000002,12.718750000000002,11.0,11.0,0.0,0.0,0.0
구로구,9.857638888888891,10.57986111111111,21.0,20.0,-0.7222222222222197,1.0,1.0,10.045138888888891,10.847222222222223,18.0,17.0,-0.8020833333333321,1.0,1.0,9.673611111111112,9.673611111111112,20.0,20.0,0.0,0.0,0.0
금천구,7.378472222222222,8.694444444444446,25.0,24.0,-1.315972222222224,1.0,1.0,9.524305555555557,9.572916666666668,20.0,21.0,-0.048611111111110716,-1.0,1.0,7.642361111111112,7.642361111111112,25.0,25.0,0.0,0.0,0.0
영등포구,14.395833333333334,13.916666666666668,5.0,10.0,0.4791666666666661,-5.0,5.0,13.836805555555557,14.940972222222223,9.0,7.0,-1.104166666666666,2.0,2.0,13.704861111111112,13.704861111111112,10.0,10.0,0.0,0.0,0.0
동작구,10.472222222222225,9.434027777777779,17.0,23.0,1.0381944444444464,-6.0,6.0,8.097222222222223,8.256944444444445,25.0,25.0,-0.15972222222222143,0.0,0.0,8.92361111111111,8.92361111111111,23.0,23.0,0.0,0.0,0.0
관악구,10.4375,10.829861111111112,18.0,17.0,-0.3923611111111125,1.0,1.0,8.958333333333336,9.756944444444446,23.0,20.0,-0.7986111111111107,3.0,3.0,10.027777777777777,10.027777777777777,19.0,19.0,0.0,0.0,0.0
서초구,15.538194444444443,15.374999999999998,2.0,5.0,0.16319444444444464,-3.0,3.0,15.069444444444445,15.211805555555555,5.0,6.0,-0.14236111111111072,-1.0,1.0,16.072916666666668,15.958333333333334,4.0,4.0,0.11458333333333393,0.0,0.0
강남구,19.243055555555557,19.305555555555554,1.0,1.0,-0.06249999999999645,0.0,0.0,20.211805555555557,20.899305555555557,1.0,1.0,-0.6875,0.0,0.0,19.489583333333336,19.364583333333336,1.0,1.0,0.125,0.0,0.0
송파구,10.899305555555557,11.625000000000002,16.0,14.0,-0.7256944444444446,2.0,2.0,10.315972222222221,11.836805555555557,17.0,14.0,-1.5208333333333357,3.0,3.0,11.385416666666668,11.385416666666668,14.0,14.0,0.0,0.0,0.0
강동구,12.04513888888889,11.881944444444445,13.0,12.0,0.16319444444444464,1.0,1.0,11.90625,10.958333333333334,12.0,16.0,0.9479166666666661,-4.0,4.0,10.725694444444445,10.725694444444445,16.0,16.0,0.0,0.0,0.0
